SteamRatio(mol:mol EB),Pressure(bar),Temperature(K),EconomicPotential($/hr)
6.000000,1.300000,840.000000,-133.133218
6.000000,1.300000,845.000000,-70.156427
6.000000,1.300000,850.000000,-12.793987
6.000000,1.300000,855.000000,39.249583
6.000000,1.300000,860.000000,86.240949
6.000000,1.300000,865.000000,128.391212
6.000000,1.300000,870.000000,165.986626
6.000000,1.300000,875.000000,199.139087
6.000000,1.300000,880.000000,228.042152
6.000000,1.300000,885.000000,252.819877
6.000000,1.300000,890.000000,273.629010
6.000000,1.300000,895.000000,290.560208
6.000000,1.300000,900.000000,303.687048
6.000000,1.300000,905.000000,313.059170
6.000000,1.300000,910.000000,318.770122
6.000000,1.300000,915.000000,320.811505
6.000000,1.300000,920.000000,319.214940
6.000000,1.300000,925.000000,313.973819
6.000000,1.300000,930.000000,305.062730
6.000000,1.300000,935.000000,292.465681
6.000000,1.300000,940.000000,276.107479
6.000000,1.300000,945.000000,255.942445
6.000000,1.300000,950.000000,231.860638
6.000000,1.400000,800.000000,-971.825063
6.000000,1.400000,805.000000,-843.465192
6.000000,1.400000,810.000000,-724.882803
6.000000,1.400000,815.000000,-615.394188
6.000000,1.400000,820.000000,-514.372757
6.000000,1.400000,825.000000,-421.256987
6.000000,1.400000,830.000000,-335.540456
6.000000,1.400000,835.000000,-256.753162
6.000000,1.400000,840.000000,-184.482436
6.000000,1.400000,845.000000,-118.346415
6.000000,1.400000,850.000000,-58.003679
6.000000,1.400000,855.000000,-3.147145
6.000000,1.400000,860.000000,46.500603
6.000000,1.400000,865.000000,91.185901
6.000000,1.400000,870.000000,131.129553
6.000000,1.400000,875.000000,166.529779
6.000000,1.400000,880.000000,197.531940
6.000000,1.400000,885.000000,224.334257
6.000000,1.400000,890.000000,247.038778
6.000000,1.400000,895.000000,265.767873
6.000000,1.400000,900.000000,280.586076
6.000000,1.400000,905.000000,291.566995
6.000000,1.400000,910.000000,298.782413
6.000000,1.400000,915.000000,302.255221
6.000000,1.400000,920.000000,301.981361
6.000000,1.400000,925.000000,298.040507
6.000000,1.400000,930.000000,290.336765
6.000000,1.400000,935.000000,278.862653
6.000000,1.400000,940.000000,263.544210
6.000000,1.400000,945.000000,244.403487
6.000000,1.400000,950.000000,221.257067
6.500000,0.400000,800.000000,-44.269903
6.500000,0.400000,805.000000,18.881206
6.500000,0.400000,810.000000,76.270498
6.500000,0.400000,815.000000,128.285730
6.500000,0.400000,820.000000,175.278066
6.500000,0.400000,825.000000,217.567131
6.500000,0.400000,830.000000,255.445790
6.500000,0.400000,835.000000,289.175140
6.500000,0.400000,840.000000,318.989394
6.500000,0.400000,845.000000,345.111783
6.500000,0.400000,850.000000,367.723690
6.500000,0.400000,855.000000,387.001953
6.500000,0.400000,860.000000,403.096461
6.500000,0.400000,865.000000,416.141543
6.500000,0.400000,870.000000,426.245694
6.500000,0.400000,875.000000,433.516619
6.500000,0.400000,880.000000,438.019398
6.500000,0.400000,885.000000,439.821870
6.500000,0.400000,890.000000,438.978615
6.500000,0.400000,895.000000,435.525895
6.500000,0.400000,900.000000,429.460569
6.500000,0.400000,905.000000,420.786566
6.500000,0.400000,910.000000,409.475719
6.500000,0.400000,915.000000,395.574189
6.500000,0.400000,920.000000,378.947194
6.500000,0.400000,925.000000,359.553133
6.500000,0.400000,930.000000,337.383479
6.500000,0.400000,935.000000,312.280942
6.500000,0.400000,940.000000,284.136715
6.500000,0.400000,945.000000,252.910535
6.500000,0.400000,950.000000,218.393676
6.500000,0.500000,800.000000,-186.764995
6.500000,0.500000,805.000000,-113.792990
6.500000,0.500000,810.000000,-47.205915
6.500000,0.500000,815.000000,13.426118
6.500000,0.500000,820.000000,68.493510
6.500000,0.500000,825.000000,118.351472
6.500000,0.500000,830.000000,163.319626
6.500000,0.500000,835.000000,203.692338
6.500000,0.500000,840.000000,239.732059
6.500000,0.500000,845.000000,271.676524
6.500000,0.500000,850.000000,299.739200
6.500000,0.500000,855.000000,324.113971
6.500000,0.500000,860.000000,344.970479
6.500000,0.500000,865.000000,362.461066
6.500000,0.500000,870.000000,376.715770
6.500000,0.500000,875.000000,387.848404
6.500000,0.500000,880.000000,395.940397
6.500000,0.500000,885.000000,401.108788
6.500000,0.500000,890.000000,403.340937
6.500000,0.500000,895.000000,402.802520
6.500000,0.500000,900.000000,399.414828
6.500000,0.500000,905.000000,393.228399
6.500000,0.500000,910.000000,384.244333
6.500000,0.500000,915.000000,372.435864
6.500000,0.500000,920.000000,357.759837
6.500000,0.500000,925.000000,340.235611
6.500000,0.500000,930.000000,319.712693
6.500000,0.500000,935.000000,296.159983
6.500000,0.500000,940.000000,269.468862
6.500000,0.500000,945.000000,239.537747
6.500000,0.500000,950.000000,206.233792
6.500000,0.600000,800.000000,-318.191047
6.500000,0.600000,805.000000,-236.400968
6.500000,0.600000,810.000000,-161.550648
6.500000,0.600000,815.000000,-93.171271
6.500000,0.600000,820.000000,-30.836200
6.500000,0.600000,825.000000,25.840527
6.500000,0.600000,830.000000,77.209222
6.500000,0.600000,835.000000,123.588556
6.500000,0.600000,840.000000,165.265718
6.500000,0.600000,845.000000,202.500209
6.500000,0.600000,850.000000,235.525476
6.500000,0.600000,855.000000,264.553241
6.500000,0.600000,860.000000,289.770378
6.500000,0.600000,865.000000,311.332263
6.500000,0.600000,870.000000,329.406898
6.500000,0.600000,875.000000,344.115104
6.500000,0.600000,880.000000,355.568457
6.500000,0.600000,885.000000,363.843835
6.500000,0.600000,890.000000,369.012390
6.500000,0.600000,895.000000,371.160551
6.500000,0.600000,900.000000,370.288908
6.500000,0.600000,905.000000,366.459866
6.500000,0.600000,910.000000,359.624255
6.500000,0.600000,915.000000,349.879023
6.500000,0.600000,920.000000,337.075366
6.500000,0.600000,925.000000,321.294354
6.500000,0.600000,930.000000,302.391113
6.500000,0.600000,935.000000,280.323103
6.500000,0.600000,940.000000,255.021711
6.500000,0.600000,945.000000,226.361887
6.500000,0.600000,950.000000,194.209257
6.500000,0.700000,800.000000,-440.785735
6.500000,0.700000,805.000000,-350.936369
6.500000,0.700000,810.000000,-268.532287
6.500000,0.700000,815.000000,-193.068238
6.500000,0.700000,820.000000,-124.083646
6.500000,0.700000,825.000000,-61.163749
6.500000,0.700000,830.000000,-3.929500
6.500000,0.700000,835.000000,47.960468
6.500000,0.700000,840.000000,94.816393
6.500000,0.700000,845.000000,136.917955
6.500000,0.700000,850.000000,174.517027
6.500000,0.700000,855.000000,207.841638
6.500000,0.700000,860.000000,237.096686
6.500000,0.700000,865.000000,262.456737
6.500000,0.700000,870.000000,284.088230
6.500000,0.700000,875.000000,302.085901
6.500000,0.700000,880.000000,316.693518
6.500000,0.700000,885.000000,327.853980
6.500000,0.700000,890.000000,335.805726
6.500000,0.700000,895.000000,340.499373
6.500000,0.700000,900.000000,342.022977
6.500000,0.700000,905.000000,340.412611
6.500000,0.700000,910.000000,335.687243
6.500000,0.700000,915.000000,327.847114
6.500000,0.700000,920.000000,316.873031
6.500000,0.700000,925.000000,302.733632
6.500000,0.700000,930.000000,285.378229
6.500000,0.700000,935.000000,264.758779
6.500000,0.700000,940.000000,240.795066
6.500000,0.700000,945.000000,213.368742
6.500000,0.700000,950.000000,182.391129
6.500000,0.800000,800.000000,-556.121175
6.500000,0.800000,805.000000,-458.810525
6.500000,0.800000,810.000000,-369.412985
6.500000,0.800000,815.000000,-287.388924
6.500000,0.800000,820.000000,-212.245702
6.500000,0.800000,825.000000,-143.541322
6.500000,0.800000,830.000000,-80.869558
6.500000,0.800000,835.000000,-23.867584
6.500000,0.800000,840.000000,27.796614
6.500000,0.800000,845.000000,74.421744
6.500000,0.800000,850.000000,116.276994
6.500000,0.800000,855.000000,153.605641
6.500000,0.800000,860.000000,186.626645
6.500000,0.800000,865.000000,215.521857
6.500000,0.800000,870.000000,240.489741
6.500000,0.800000,875.000000,261.642003
6.500000,0.800000,880.000000,279.120722
6.500000,0.800000,885.000000,293.118892
6.500000,0.800000,890.000000,303.612467
6.500000,0.800000,895.000000,310.730224
6.500000,0.800000,900.000000,314.527695
6.500000,0.800000,905.000000,315.036899
6.500000,0.800000,910.000000,312.297221
6.500000,0.800000,915.000000,306.304764
6.500000,0.800000,920.000000,297.058562
6.500000,0.800000,925.000000,284.531522
6.500000,0.800000,930.000000,268.682110
6.500000,0.800000,935.000000,249.453238
6.500000,0.800000,940.000000,226.784068
6.500000,0.800000,945.000000,200.567734
6.500000,0.800000,950.000000,170.678171
6.500000,0.900000,800.000000,-665.351943
6.500000,0.900000,805.000000,-561.065954
6.500000,0.900000,810.000000,-465.130862
6.500000,0.900000,815.000000,-376.974400
6.500000,0.900000,820.000000,-296.073453
6.500000,0.900000,825.000000,-221.960111
6.500000,0.900000,830.000000,-154.202266
6.500000,0.900000,835.000000,-92.416644
6.500000,0.900000,840.000000,-36.250485
6.500000,0.900000,845.000000,14.613034
6.500000,0.900000,850.000000,60.459563
6.500000,0.900000,855.000000,101.546841
6.500000,0.900000,860.000000,138.107112
6.500000,0.900000,865.000000,170.341892
6.500000,0.900000,870.000000,198.440770
6.500000,0.900000,875.000000,222.517856
6.500000,0.900000,880.000000,242.844385
6.500000,0.900000,885.000000,259.399014
6.500000,0.900000,890.000000,272.365248
6.500000,0.900000,895.000000,281.787617
6.500000,0.900000,900.000000,287.744853
6.500000,0.900000,905.000000,290.275833
6.500000,0.900000,910.000000,289.441318
6.500000,0.900000,915.000000,285.193010
6.500000,0.900000,920.000000,277.609727
6.500000,0.900000,925.000000,266.660706
6.500000,0.900000,930.000000,252.262775
6.500000,0.900000,935.000000,234.394055
6.500000,0.900000,940.000000,212.979200
6.500000,0.900000,945.000000,187.929710
6.500000,0.900000,950.000000,159.162555
6.500000,1.000000,800.000000,-769.355581
6.500000,1.000000,805.000000,-658.498659
6.500000,1.000000,810.000000,-556.411409
6.500000,1.000000,815.000000,-462.473423
6.500000,1.000000,820.000000,-376.149504
6.500000,1.000000,825.000000,-296.941300
6.500000,1.000000,830.000000,-224.391937
6.500000,1.000000,835.000000,-158.098561
6.500000,1.000000,840.000000,-97.688534
6.500000,1.000000,845.000000,-42.827676
6.500000,1.000000,850.000000,6.785433
6.500000,1.000000,855.000000,51.422362
6.500000,1.000000,860.000000,91.328036
6.500000,1.000000,865.000000,126.709231
6.500000,1.000000,870.000000,157.770984
6.500000,1.000000,875.000000,184.664923
6.500000,1.000000,880.000000,207.633109
